"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"305PJP","305PJP",79,8.1,120,0,1.68,3.955,8.1,18.3,26.18,13.7441772151899,9,11.3924050632911,3,3.79746835443038
"305PRR","305PRR",3,84.4,126,29.7,40.64,57.05,84.4,105.2,117.68,80.0333333333333,3,100,2,66.6666666666667
"305PS0034","305PS0034",1,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,0,0,0,0
"305PS0057","305PS0057",1,117,117,117,117,117,117,117,117,117,1,100,1,100
"305PS0061","305PS0061",1,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,0,0,0,0
"305SAN","305SAN",17,5,290,0.1,1.08,3.6,5,16,65.16,31.6029411764706,4,23.5294117647059,2,11.7647058823529
"305SBH","305SBH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305SJA","305SJA",69,9,128,0,0,5.72,9,16.1,25.46,14.3382608695652,7,10.1449275362319,6,8.69565217391304
"305SJN","305SJN",10,2.85,14.4,0.1,0.82,2.025,2.85,5.85,9,4.36,0,0,0,0
"305SSCAUC","305SSCAUC",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"305STL","305STL",41,22.6,5000,0,2.4,8.5,22.6,60.4,231,253.878048780488,20,48.780487804878,14,34.1463414634146
"305TES","305TES",4,87,98.6,67,70.6,76,87,95.9,97.52,84.9,4,100,4,100
"305THU","305THU",83,7,3650,0,0.0200000000000001,1.85,7,14.7,53.1,64.1698795180723,14,16.8674698795181,11,13.2530120481928
"305TRE","305TRE",9,1.4,41,0,0.08,0.3,1.4,3,13.88,6.2,1,11.1111111111111,1,11.1111111111111
"305TSR","305TSR",61,36.1,2878,5.83,10.9,18.5,36.1,101,260,128.911639344262,37,60.655737704918,29,47.5409836065574
"305UVA","305UVA",6,3.105,19.6,0,0.18,0.4725,3.105,10.2,15.7,6.32833333333333,0,0,0,0
"305UVCASC","305UVCASC",1,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0
"305VIS","305VIS",2,4.5,6.8,2.2,2.66,3.35,4.5,5.65,6.34,4.5,0,0,0,0
"305WCS","305WCS",13,2.35,69.7,1.34,1.57,1.73,2.35,3.65,13.248,8.53076923076923,1,7.69230769230769,1,7.69230769230769
"305WE0883","305WE0883",1,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0,0
"305WSA","305WSA",47,22.2,400,1.7,6.16,13.75,22.2,81.3,163.46,66.0717021276596,22,46.8085106382979,19,40.4255319148936
"306-CARNE-31","306-CARNE-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"306-CARNE-32","306-CARNE-32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"306-CARNE-33A","306-CARNE-33A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"306-CARNE-36","306-CARNE-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"306-CORNC-31","306-CORNC-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"306CAR","306CAR",13,30,72,2.7,6.28,18,30,48.7,57.4,31.4461538461538,7,53.8461538461538,4,30.7692307692308
"306WAC","306WAC",13,1.3,14,0,0,0,1.3,5.2,10.72,3.43076923076923,0,0,0,0
"307-CARME-31","307-CARME-31",5,2.54,3.54,0.44,1.032,1.92,2.54,2.6,3.164,2.208,0,0,0,0
"307-CARME-33","307-CARME-33",5,1.02,5.29,0.61,0.742,0.94,1.02,3.72,4.662,2.316,0,0,0,0
"307-CARME-36","307-CARME-36",3,0.64,1.12,0.52,0.544,0.58,0.64,0.88,1.024,0.76,0,0,0,0
"307-CARME-366","307-CARME-366",1,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0,0,0,0
"307-CARME-38","307-CARME-38",4,0.765,0.91,0.3,0.408,0.57,0.765,0.88,0.898,0.685,0,0,0,0
"307CAW135","307CAW135",1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0,0
"307CE0094","307CE0094",1,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0,0,0,0
"307CMD","307CMD",10,0.1,1.5,0,0,0,0.1,0.1,0.33,0.21,0,0,0,0
"307CML","307CML",44,0.1,5.7,0,0,0,0.1,0.725,3.67,0.8125,0,0,0,0
"307CMN","307CMN",14,0.23,4,0,0,0.1,0.23,1.375,2.58,0.911428571428571,0,0,0,0
"307CMRADC","307CMRADC",3,0.35,1.12,0.22,0.246,0.285,0.35,0.735,0.966,0.563333333333333,0,0,0,0
"307CMU","307CMU",13,0.1,154,0,0,0,0.1,0.1,0.69,11.9653846153846,1,7.69230769230769,1,7.69230769230769
"307PS0028","307PS0028",1,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0,0,0,0
"307PS0044","307PS0044",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"307SCCARR","307SCCARR",1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,0,0,0,0
"307TUL","307TUL",10,1.825,111.8,0.1,0.1,0.1,1.825,3.975,38.72,15.435,2,20,1,10
"308BGC","308BGC",72,0.1,20.1,0,0,0,0.1,0.6125,3.12,1.18680555555556,0,0,0,0
"308BSR","308BSR",76,0.1,18.2,0,0,0,0.1,0.1925,0.9,0.621315789473684,0,0,0,0
"308BSU","308BSU",14,0.1,5.5,0,0,0.025,0.1,0.6475,4.76,1.13785714285714,0,0,0,0
"308CAW055","308CAW055",1,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0,0,0,0
"308GAR","308GAR",12,0.1,14.2,0,0,0.075,0.1,1.75,5.62,2.16666666666667,0,0,0,0
"308LILPAL","308LILPAL",1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0
"308LIM","308LIM",12,2.95,5.9,0,0.1,0.7,2.95,4,5.47,2.65833333333333,0,0,0,0
"308LSR","308LSR",64,0.4,22.5,0,0,0.1,0.4,1.825,3.01,1.36609375,0,0,0,0
"308LSRASC","308LSRASC",2,1.095,1.57,0.62,0.715,0.8575,1.095,1.3325,1.475,1.095,0,0,0,0
"308LSU","308LSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"308MIL","308MIL",12,0.4,5.4,0,0.01,0.1,0.4,2.4,5.1,1.60833333333333,0,0,0,0
"308MWCAH1","308MWCAH1",1,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,0,0,0,0
"308PS0156","308PS0156",1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0,0,0,0
"308PS0204","308PS0204",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"308PS0308","308PS0308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"308PWCAH1","308PWCAH1",1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0,0,0,0
"308ROCBBQ","308ROCBBQ",1,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,0,0,0,0
"308SAM","308SAM",8,0.05,7.2,0,0,0,0.05,0.685,2.65,1.085,0,0,0,0
"308SJC","308SJC",13,1,13.4,0,0.02,0.1,1,2,5.16,2.25384615384615,0,0,0,0
"308WER325","308WER325",1,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0,0
"308WLO","308WLO",73,0.1,8.3,0,0,0,0.1,0.24,1.72,0.578493150684931,0,0,0,0
"309-SRITA-34","309-SRITA-34",10,19.3,98.3,0,1.08,3.275,19.3,43.375,66.62,29.46,5,50,4,40
"309-SRITA-36","309-SRITA-36",6,131.65,1949,43,66.2,94.375,131.65,167.95,1060.8,419.55,6,100,6,100
"309ALD","309ALD",44,36.95,207.3,0,9.42,18.875,36.95,56.7,86.45,43.1295454545455,28,63.6363636363636,18,40.9090909090909
"309ALG","309ALG",67,55,505,0,13.52,26.9,55,156.7,243.6,104.598507462687,53,79.1044776119403,45,67.1641791044776
"309ALU","309ALU",18,101.6,355.8,20,26.9,34.35,101.6,157.775,347.48,127.766666666667,16,88.8888888888889,12,66.6666666666667
"309ANT","309ANT",1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0
"309ARCBRC","309ARCBRC",1,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,0,0,0,0
"309ARSARC","309ARSARC",1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,0,0,0,0
"309ASB","309ASB",67,22.6,3000,2.3,6.2,11.85,22.6,42.15,72.36,79.2641791044776,30,44.7761194029851,18,26.865671641791
"309ATS","309ATS",17,0.55,35.9,0,0,0.1,0.55,2.5,6.68,3.59882352941176,1,5.88235294117647,0,0
"309AVR","309AVR",5,26.9,40.3,5,6.8,9.5,26.9,36.1,38.62,23.56,3,60,1,20
"309AXX","309AXX",5,12.2,23.7,0.9,5.38,12.1,12.2,13.4,19.58,12.46,0,0,0,0
"309BLA","309BLA",70,27.45,3000,0.1,4.49,11.225,27.45,63.625,101.89,89.4671428571429,39,55.7142857142857,27,38.5714285714286
"309CAW009","309CAW009",1,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0,0,0,0
"309CAW050","309CAW050",1,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0,0,0,0
"309CAW116","309CAW116",1,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0,0,0,0
"309CAW126","309CAW126",2,0.285,0.39,0.18,0.201,0.2325,0.285,0.3375,0.369,0.285,0,0,0,0
"309CAW130","309CAW130",1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0,0,0,0
"309CAW174","309CAW174",2,0.46,0.63,0.29,0.324,0.375,0.46,0.545,0.596,0.46,0,0,0,0
"309CAW178","309CAW178",1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0
"309CAW182","309CAW182",1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0,0
"309CAW194","309CAW194",1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0,0,0,0
"309CCD","309CCD",30,70.35,1630,7,16.92,29.825,70.35,466,697.8,283.026666666667,23,76.6666666666667,20,66.6666666666667
"309CLCBVC","309CLCBVC",1,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,0,0,0,0
"309CRR","309CRR",26,1567.5,4180,13.8,170.7,533.25,1567.5,2792,3000,1634.84230769231,25,96.1538461538462,25,96.1538461538462
"309DAV","309DAV",76,9.4,81.5,0,0.19,3,9.4,46.725,56.5,22.4286842105263,25,32.8947368421053,22,28.9473684210526
"309DSA","309DSA",16,4.45,16,0,0.25,1.985,4.45,5.875,8.35,4.715,0,0,0,0
"309ESP","309ESP",67,68.9,3000,0.1,5.72,13.35,68.9,217,507.2,210.641791044776,45,67.1641791044776,43,64.1791044776119
"309GAB","309GAB",32,177.7,3000,0,5.12,40.075,177.7,366.225,1817.325,526.0078125,26,81.25,24,75
"309GRN","309GRN",64,25.95,694,0.2,8.8,12.75,25.95,46,85.6300000000001,45.0809375,33,51.5625,22,34.375
"309HRT","309HRT",4,1126.5,1516,535,708.7,969.25,1126.5,1233.25,1402.9,1076,4,100,4,100
"309JON","309JON",69,24.8,3000,0,5.26,18,24.8,43.7,86.74,79.4304347826087,34,49.2753623188406,22,31.8840579710145
"309KNG","309KNG",16,20.05,176.7,1.5,7.2,11.875,20.05,24.4,30.95,27.54375,3,18.75,1,6.25
"309LAS1MI","309LAS1MI",1,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0,0,0,0
"309LOK","309LOK",1,230,230,230,230,230,230,230,230,230,1,100,1,100
"309LOR","309LOR",8,0.88,800,0,0.273,0.4725,0.88,1.975,243.01,101.01875,1,12.5,1,12.5
"309MER","309MER",69,76,3000,4.1,22.4,42.3,76,122,182.96,131.023188405797,61,88.4057971014493,54,78.2608695652174
"309NAC","309NAC",15,1.9,9.3,0,0.332,1.4,1.9,4.05,4.7,2.69866666666667,0,0,0,0
"309NAD","309NAD",72,105.5,3000,10.8,26.69,52.6,105.5,245.75,523.2,255.644444444444,65,90.2777777777778,58,80.5555555555556
"309NAF","309NAF",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309NOS","309NOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"309OLD","309OLD",131,75.3,3000,0.16,12.1,29.3,75.3,152.35,238.7,127.14679389313,102,77.8625954198473,89,67.9389312977099
"309POT","309POT",5,46,121.7,25,30.72,39.3,46,48.05,92.24,56.01,5,100,3,60
"309PS0040","309PS0040",1,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,1,100,0,0
"309PS0043","309PS0043",1,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,0,0,0,0
"309PS0072","309PS0072",1,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,1,100,0,0
"309PS0116","309PS0116",1,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0
"309PSO","309PSO",9,0.4,9.1,0,0,0.1,0.4,0.75,6.94,1.93111111111111,0,0,0,0
"309QCW","309QCW",4,1127,3000,46.8,193.26,412.95,1127,2039.25,2615.7,1325.2,4,100,4,100
"309QUA","309QUA",18,240,3000,7.2,11.14,41.7,240,325,675,392.761111111111,15,83.3333333333333,13,72.2222222222222
"309QUI","309QUI",55,83.5,3000,0,14.2,29.1,83.5,272.65,623.4,304.638181818182,43,78.1818181818182,36,65.4545454545455
"309RTA","309RTA",20,93.5,8023,11.8,31.53,51.15,93.5,214.425,443,541.62,18,90,16,80
"309SAC","309SAC",55,53.7,254,1.6,16.34,34.2,53.7,92.8,130.3,70.4945454545455,46,83.6363636363636,36,65.4545454545455
"309SAG","309SAG",37,53.8,344.6,11.5,19.3,29.2,53.8,101.3,199.86,87.2810810810811,32,86.4864864864865,23,62.1621621621622
"309SALDBD","309SALDBD",1,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,0,0,0,0
"309SALDDM","309SALDDM",1,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,0,0,0,0
"309SALUBD","309SALUBD",1,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,0,0,0,0
"309SAN","309SAN",16,0.68,6,0,0,0.075,0.68,1.95,2.65,1.24125,0,0,0,0
"309SAP","309SAP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309SARANF","309SARANF",1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,0,0,0
"309SAS","309SAS",5,18.3,53.7,0.1,6.42,15.9,18.3,46,50.62,26.8,2,40,2,40
"309SAT","309SAT",6,0.975,2.6,0,0,0.1375,0.975,1.85,2.3,1.09166666666667,0,0,0,0
"309SBC","309SBC",4,270.9,474,106.1,120.47,142.025,270.9,409.35,448.14,280.475,4,100,4,100
"309SBR","309SBR",17,17,47,1.1,3.56,7.5,17,31,41.84,20.0235294117647,6,35.2941176470588,3,17.6470588235294
"309SDCMCC","309SDCMCC",1,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,0,0,0,0
"309SEC","309SEC",14,1.2,8,0.1,0.1,0.56,1.2,3.175,5.37,2.19642857142857,0,0,0,0
"309SED071","309SED071",4,0.345,0.57,0.16,0.202,0.265,0.345,0.435,0.516,0.355,0,0,0,0
"309SET","309SET",8,1.1,2.4,0.1,0.31,0.4225,1.1,1.4,1.91,1.06625,0,0,0,0
"309SOS","309SOS",3,437,852,427,429,432,437,644.5,769,572,3,100,3,100
"309SSP","309SSP",42,36.85,326.2,1.4,10.43,24.325,36.85,57.9,84.12,53.1380952380952,31,73.8095238095238,20,47.6190476190476
"309SUN","309SUN",4,2.3,21.5,1.2,1.53,2.025,2.3,7.1,15.74,6.825,0,0,0,0
"309TEH","309TEH",69,88.2,3000,5.9,26.7,57.1,88.2,159.4,221.04,157.530434782609,62,89.8550724637681,57,82.6086956521739
"309TEM","309TEM",17,53.7,302.8,8.9,24.6,37.9,53.7,86.9,126.48,74.9647058823529,15,88.2352941176471,12,70.5882352941177
"309TOP","309TOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"309UAL","309UAL",3,75,110,44,50.2,59.5,75,92.5,103,76.3333333333333,3,100,3,100
"309UQA","309UQA",4,103.55,2384,4.6,6.7,9.85,103.55,742.625,1727.45,648.925,2,50,2,50
"309USA","309USA",21,5.4,254.1,0,0.1,1.7,5.4,7.2,17,17.2571428571429,1,4.76190476190476,1,4.76190476190476
"309WLCATC","309WLCATC",1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0,0,0,0
"310ADC","310ADC",34,0.175,34.2,0,0,0,0.175,0.6,2.74,1.695,1,2.94117647058824,0,0
"310ADU","310ADU",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"310AGB","310AGB",14,1.7,6.6,0,0.1,0.115,1.7,2.975,5.83,2.15428571428571,0,0,0,0
"310AGF","310AGF",14,1.25,9.3,0,0.121,0.45,1.25,3.325,6.89,2.54071428571429,0,0,0,0
"310AGS","310AGS",15,1.9,10.4,0,0,0.125,1.9,4.9,9.64,3.25666666666667,0,0,0,0
"310APN","310APN",31,0.65,2.55,0.24,0.33,0.41,0.65,1.17,1.86,0.890645161290323,0,0,0,0
"310ARG","310ARG",49,0.1,41.4,0,0,0.1,0.1,2,7.84000000000001,2.88571428571429,1,2.04081632653061,1,2.04081632653061
"310BER","310BER",1,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,0,0,0,0
"310CAN","310CAN",119,1.56,7.83,0,0.678,0.975,1.56,2.25,3.124,1.73764705882353,0,0,0,0
"310CAW176","310CAW176",1,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0
"310CAW192","310CAW192",1,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,0,0,0,0
"310CAY","310CAY",4,0.1,0.1,0,0.03,0.075,0.1,0.1,0.1,0.075,0,0,0,0
"310CCC","310CCC",116,1.495,29.1,0.1,0.6,0.955,1.495,2.57,3.58,2.36827586206897,1,0.862068965517241,0,0
"310CER","310CER",148,1.91,56.1,0,0.754,1.265,1.91,3.17,5.095,2.89459459459459,1,0.675675675675676,1,0.675675675675676
"310CHD","310CHD",2,0.775,0.91,0.64,0.667,0.7075,0.775,0.8425,0.883,0.775,0,0,0,0
"310CHO","310CHO",79,1.37,5.6,0.11,0.834,1.135,1.37,2.045,2.92,1.67227848101266,0,0,0,0
"310CLK","310CLK",2,0.89,1.26,0.52,0.594,0.705,0.89,1.075,1.186,0.89,0,0,0,0
"310CLV","310CLV",30,0.715,5.9,0.15,0.287,0.415,0.715,1.4225,3.392,1.24866666666667,0,0,0,0
"310COO","310COO",42,0.98,9.9,0.1,0.474,0.735,0.98,1.465,3.192,1.46904761904762,0,0,0,0
"310CPN","310CPN",75,0.58,8.58,0.25,0.334,0.415,0.58,0.835,1.398,0.8612,0,0,0,0
"310DAL","310DAL",31,0.62,6.48,0.16,0.25,0.42,0.62,0.895,2.8,1.11161290322581,0,0,0,0
