"station_co","station_na","class"
"305CAN","Carnadero Creek upstream of Pajaro River","medium-low-vegetated"
"315ROM","Romero Creek @ Jamison Lane","head-low-vegetated"
"315GBR","Glen Annie Creek @ Bishop Ranch Rd","head-low-vegetated"
"305PS0057","Pajaro River above Millers Canal","medium-low-vegetated"
"315MIU","Mission Creek at Foothill Road","head-low-vegetated"
"305PES","Pescadero Creek NE of Chittendon @ RR tracks","head-low-vegetated"
"307CAW135","Carmel River CAW135","medium-low-vegetated"
"305CHI","Pajaro River at Chittenden Gap","medium-low-vegetated"
"305UVA","Uvas Creek at Bloomfield Avenue","medium-low-vegetated"
"305COR","Salsipuedes Creek downstream of Corralitos Creek","medium-low-vegetated"
"305CAR","Carnadero Creek at Private property access","medium-low-vegetated"
"305PAJ","Pajaro River at Betabel Road","medium-low-vegetated"
"310AGF","Arroyo Grande at Fair Oaks Bridge","medium-low-vegetated"
"GVWBL2","Bell Creek at San Miguel Open Space","head-low-vegetated"
"315LCC","Los Carneros Creek at Calle Real","head-low-vegetated"
"309NAD","Natividad Creek upstream from Salinas Reclamation Canal","head-low-vegetated"
"315ABU","Arroyo Burro at Cliff Drive","head-low-vegetated"
"315BEF","Bell Creek @ Winchester Canyon Park","head-low-vegetated"
"310LSL","San Luisito Creek Lower","head-low-vegetated"
"GVWLC2","Los Carneros Creek at Calle Rea","head-low-vegetated"
"GVWDV24","El Encanto Creek (Phelps Ditch) at Padova Park","head-low-vegetated"
"305CAW097","Bodfish Creek ~0.45mi below Whitehurst Rd.","head-low-vegetated"
"304WE1096","Scott Creek ~0.7mi above Mill Creek","head-low-vegetated"
"304SVC","San Vicente Creek at the gate at the end of San Vicente Creek Road","head-low-vegetated"
"GVWMY2","Maria Ygnacio at Old San Marcos Road","head-low-vegetated"
"313SAC","San Antonio Creek at VAFB RR bridge","medium-low-vegetated"
"304PS0194","East Waddell Creek ~0.7mi below Opal Cr.","head-low-vegetated"
"304CAW016","San Vicente Creek at Davenport","head-low-vegetated"
"GVWSP3","San Pedro Creek at Cathedral Oaks Road","head-low-vegetated"
"GVWDV25","Tributary of El Encanto Creek (Phelps Ditch) at Evergreen Frisbee Course","head-low-vegetated"
"315DOS","Dos Pueblos Canyon Creek at Highway 101","head-low-vegetated"
"NAT-LAS","Natividad Creek at Las Casitas Drive","head-low-vegetated"
"305OAK","Llagas Creek @ Oak Glen Avenue","head-low-vegetated"
"GVWLV1","Las Vegas Creek at La Goleta Road","head-low-vegetated"
"310PRE","Prefumo Creek  @ Calle Joaquin","head-low-vegetated"
"310USG","Arroyo Grande Creek @ old USGS gage","medium-low-vegetated"
"305CHE","Llagas Creek @ Chesbro Reservoir","head-low-vegetated"
"314MCM","Miguelito Creek mouth @ treatment plant","head-low-vegetated"
"304SOK","Soquel Creek at Knob Hill Parking Lot","head-low-vegetated"
"310WRP","Warden Creek @ Wetlands Restoration Preserve","head-low-vegetated"
"305CCUSGS","Clear Creek at USGS gauge and Oak Flat Camp","head-low-vegetated"
"312ALA","Alamo Creek at Alamo Creek Road","medium-low-vegetated"
"312RYCALR","Reyes Creek ~2.7mi above Lockwood Valley Rd.","head-low-vegetated"
"310DAM","Dairy Creek within Cattle exclosure","head-low-vegetated"
"314SYF","Santa Ynez River at Floradale Rd","medium-low-vegetated"
"309KNG","Salinas River @ Hwy 101 in King City","medium-low-vegetated"
"310SLU","San Luisito Creek @ Adobe Rd","head-low-vegetated"
"310DAL","Dairy Creek lower limit","head-low-vegetated"
"315RSB","Canada del Refugio above Highway 101","head-low-vegetated"
"310UWR","Warden Creek 1.5 mi upstream from Turri Rd","head-low-vegetated"
"305ACR","San Juan creek @ 1st St and Christopher Ranch","head-low-vegetated"
"305PJP","Pajaro River at Porter/Main","medium-low-vegetated"
"305LGCACR","Laguna Creek","head-low-unconsolidated"
"309UQA","Quail Creek @ Old Stage Rd","head-low-unconsolidated"
"305LEA","Llagas Creek at Leavesley Road","medium-low-unconsolidated"
"312CUT","Cuyama River below Twitchell @ White Rock Lane","medium-low-unconsolidated"
"310SCP","San Carpoforo Creek @ Hwy 1","head-low-unconsolidated"
"309TEH","Tembladero Slough @ Haro","head-low-unconsolidated"
"309SALDDM","Salinas River downstream of Blanco Drain (100 feet below the inflatable dam)","medium-low-unconsolidated"
"309OLD","Old Salinas River at Monterey Dunes Way","medium-low-unconsolidated"
"312SMA","Santa Maria River above Estuary","medium-low-unconsolidated"
"309TEM","Tembladero Slough @ Preston Rd","head-low-unconsolidated"
"304SOQ","Soquel Creek Lagoon at RR Trussels","head-low-unconsolidated"
"309SBR","Salinas River @ Hwy 1","medium-low-unconsolidated"
"310TWB","Chorro Creek at South Bay Boulevard","head-low-unconsolidated"
"315ATA","Atascadero Creek at Ward Drive","head-low-unconsolidated"
"GVWAT1","Atascadero Creek at Ward","head-low-unconsolidated"
"310VIA","Villa Creek upstream Hwy 1","head-low-unconsolidated"
"309NAC","Nacimiento River at Highway 101","medium-low-unconsolidated"
"309USA","Salinas River At Bradley Bridge","medium-low-unconsolidated"
"309PS0043","Nacimiento River ~2.5mi above Avery Rd.","medium-low-unconsolidated"
"313SAE","San Antonio Creek at San Antonio Road East","medium-low-unconsolidated"
"310SLB","San Luis Obispo Creek at San Luis Bay Drive","head-low-unconsolidated"
"307CML","Carmel River at Highway 1","medium-low-unconsolidated"
"310CER","Chorro Creek above Ecological Reserve, ~0.3mi above San Luisito Creek","head-low-unconsolidated"
"314WE0785","Unnamed Creek ~0.2mi SE Santa Ynez River","head-low-unconsolidated"
"307-CARME-36","Carmel River at Schulte Road MBNMS","medium-low-unconsolidated"
"307-CARME-38","Carmel River at Hwy 1 MBNMS","medium-low-unconsolidated"
"310UCR","Chorro Creek @ upper Chorro Creek Ecological Reserve","head-low-unconsolidated"
"307-CARME-366","Carmel River @ Schulte Road - upstream","medium-low-unconsolidated"
"313SAI","San Antonio Creek at San Antonio Rd West","medium-low-unconsolidated"
"310OLD","Old Creek at Cottontail Creek Road County Access Gate","head-low-unconsolidated"
"310SSC","San Simeon Creek at State Park foot bridge","medium-low-unconsolidated"
"314SYN","Santa Ynez River at 13th Street","medium-low-unconsolidated"
"310CCC","Chorro Creek upstream from Chorro Flats","head-low-unconsolidated"
"310MOR","Morro Creek @ Lila Kaiser Park","head-low-unconsolidated"
"312SMI","Santa Maria River at Highway 1","medium-low-unconsolidated"
"310CAW176","Chorro Creek ~3.5mi above San Luisito Creek","head-low-unconsolidated"
"307CMD","Carmel River @ Schulte Rd","medium-low-unconsolidated"
"310CAN","Chorro Creek at Canet Road","head-low-unconsolidated"
"309JON","Salinas Reclamation Canal @ San Jon Rd","medium-low-unconsolidated"
"306-CORNC-31","Corn Cob Canyon Creek/Watsonville Creek","head-low-unconsolidated"
"309BLA","Blanco Drain below Pump","medium-low-unconsolidated"
"309ALU","Salinas Reclamation Canal at Airport Rd","medium-low-unconsolidated"
"309ASB","Alisal Slough @ White Barn","head-low-unconsolidated"
"309ALG","Salinas Reclamation Canal @ La Guardia","medium-low-unconsolidated"
"315LCR","Los Carneros Creek at Hollister Road","head-low-unconsolidated"
"309GAB","Gabilan Creek @ Independence Rd and East Boranda Rd","medium-low-unconsolidated"
"GVWDV20","El Encanto Creek at Devereux Slough","head-low-unconsolidated"
"306-CARNE-36","Carneros Creek at Blohm Road","head-low-unconsolidated"
"309ALD","Salinas Reclamation Canal @ Boranda Rd","medium-low-unconsolidated"
"306WAC","Watsonville Creek @ Elkhorn Rd","head-low-unconsolidated"
"GAB-VET","Gabilan Creek at Veteran's Park","medium-low-unconsolidated"
"GVWLC1","Los Carneros Creek at Hollister","head-low-unconsolidated"
"309MER","Merrit Ditch upstream from Hwy 183","head-low-unconsolidated"
"309AXX","Salinas Reclamation Canal Storm Drain @ Airport Rd","medium-low-unconsolidated"
"309AVR","Salinas Reclamation Canal @ Victor Rd","medium-low-unconsolidated"
"305WCS","Watsonville Creek (aka Corncob Canyon) at Elkhorn Rd/Hudson Lndg","head-low-unconsolidated"
"306CAR","Carneros Creek in Los Lomas @ Blohm Rd","head-low-unconsolidated"
"305PS0034","Pajaro River","medium-low-unconsolidated"
"305MUR","Pajaro River at Murphy's Crossing","medium-low-unconsolidated"
"312MZCDBC","Manzana Creek ~0.5mi above Davy Brown Creek","medium-high-unconsolidated"
"312SQRABP","Sisquoc River ~2.3 mi above Big Pine Cyn.","head-high-unconsolidated"
"309SEC","Arroyo Seco River @ Elm St","medium-high-unconsolidated"
"317CHO","Cholame Creek At Bitterwater Road","medium-high-unconsolidated"
"317CHO2","Cholame Creek 500m Downstream of Bitterwater Rd.","medium-high-unconsolidated"
"312WE1028","Sisquoc River ~0.8mi below Rattlesnake Canyon","medium-high-unconsolidated"
"309CAW009","Arroyo Seco Creek ~0.6mi above Piney Cr.","medium-high-unconsolidated"
"309LOR","San Lorenzo Creek @ Bitterwater Rd east of King City","medium-high-unconsolidated"
"309ATS","Atascadero Creek Highway 41","head-high-unconsolidated"
"315GAI","Canada de la Gaviota at Highway 1","head-high-unconsolidated"
"304SPC236","Sempervirens Creek above Hwy 236","head-high-unconsolidated"
"312PS0099","Manzana Creek ~1.1mi below Davy Brown Cr.","medium-high-unconsolidated"
"310SLC","San Luis Creek at Cuesta Park","head-high-unconsolidated"
"315BEL","Bell Ck on Bacara Resort Access Road","head-high-unconsolidated"
"305WE0883","Little Arthur Creek ~1mi W Redwood Retreat Rd.","head-high-unconsolidated"
"304CAW153","Scott Creek ~4mi below Little Basin","head-high-unconsolidated"
"310SRO","Santa Rosa Ck at Moonstone Beach Drive","medium-high-unconsolidated"
"304SL9","San Lorenzo River at Highway 9","head-high-unconsolidated"
"308LILPAL","Little Sur River ~1.7mi above Skinner Cr.","medium-high-unconsolidated"
"309LAS1MI","Arroyo Seco Creek ~1.1mi below Tassajara Cr.","medium-high-unconsolidated"
"307-CARME-31","Carmel River at Cachuaga Community Center","medium-high-unconsolidated"
"308CAW055","Garrapata Creek ~0.2mi below Joshua Creek","head-high-unconsolidated"
"310LPCBPC","Lopez Canyon Creek ~0.5mi below Potrero Cr.","head-high-unconsolidated"
"309ARCBRC","Arroyo Seco below Rocky Creek","medium-high-unconsolidated"
"304SLB","San Lorenzo River at Big Trees Road","medium-high-unconsolidated"
"308WER325","Little Sur River above Skinner Creek","medium-high-unconsolidated"
"305LGCBRC","Llagas Creek above Baldy Ryan Cyn. Cr.","head-high-unconsolidated"
"307-CARME-33","Carmel River at Rosie's Bridge","medium-high-unconsolidated"
"310SSU","San Simeon Creek at San Simeon Creek Road","medium-high-unconsolidated"
"307CMN","Carmel River @ Nason Rd Community Park","medium-high-unconsolidated"
"304ZAY","Zayante Creek at Graham Hill Road","head-high-unconsolidated"
"308BSR","Big Sur River at Andrew Molera foot bridge","medium-high-unconsolidated"
"310COO","Coon Creek at Pecho Valley Road","head-high-unconsolidated"
"308LIM","Limekiln Creek @ Limekiln State Park","head-high-unconsolidated"
"308SAM","Salmon Creek upstream Hwy 1","head-high-unconsolidated"
"304BEP","Bear Creek at Elks Park","head-high-unconsolidated"
"304BH9","Boulder Creek at Highway 9","head-high-unconsolidated"
"307PS0028","Carmel River","medium-high-unconsolidated"
"308WLO","Willow Creek at Highway 1","head-high-unconsolidated"
"308BGC","Big Creek at Highway 1","head-high-unconsolidated"
"310PIS","Pismo Creek above Highway 101, Frady Lane Bridge","head-high-unconsolidated"
"307PS0044","Carmel River ~0.5mi below Paso Del Rio Rd.","medium-high-unconsolidated"
"308LSRASC","Little Sur River ~0.4mi above Skinner Cr.","medium-high-unconsolidated"
"309CAW126","Tassajara Creek ~0.3mi above Tassajara Hot Springs","head-high-unconsolidated"
"307CE0094","San Clemente Creek ~1.3mi above Black Rock Creek","head-high-unconsolidated"
"310TCC","Toro Creek at Toro Creek Canyon Road Bridge","head-high-unconsolidated"
"308LSU","Little Sur River @ Old Coast Rd","head-high-unconsolidated"
"309SED071","Tassajara Creek - Horse Pasture Trail 71","head-high-unconsolidated"
"314SAL","Salsipuedes Creek @ Santa Rosa Rd","medium-high-unconsolidated"
"304RIV","San Lorenzo River at Crossing Street","medium-high-unconsolidated"
"310USL","San Luisito Creek Upper","head-high-unconsolidated"
"308PS0204","Big Sur River ~1mi above Pfeiffer Redwood Cr.","medium-high-unconsolidated"
"304WDCAH1","Waddell Creek ~1.8mi above Hwy 1","medium-high-unconsolidated"
"309WLCATC","Willow Creek ~0.3mi above Trassajara Cr.","head-high-unconsolidated"
"304CAW081","Soquel Creek ~0.2mi above Laurel Glen Rd.","head-high-unconsolidated"
"304PS0274","Zayante Creek above Grahm Hill Rd","head-high-unconsolidated"
"315CAP","El Capitan Creek below Highway 101","head-high-unconsolidated"
"315TCI","Tecolote Creek @ Bacara Resort access Road","head-high-unconsolidated"
"310AGS","Arroyo Grande Creek @ Strother Park","medium-high-unconsolidated"
"315GAV","Canada de la Gaviota at State Park entrance","head-high-unconsolidated"
"308GAR","Garrapata Creek at Private Property access (above Highway 1)","head-high-unconsolidated"
"308ROCBBQ","Rocky Creek ~1.7mi above Hwy 1","head-high-unconsolidated"
"304GAZ","Gazos Creek Lagoon at Highway 1","head-high-unconsolidated"
"308LSR","Little Sur River @ Hwy 1","medium-high-unconsolidated"
"310SLV","San Luis Obispo Ck at Los Osos Valley Road","head-high-unconsolidated"
"315APC","Arroyo Paredon Creek at Via Real","head-high-unconsolidated"
"310AGB","Arroyo Grande at Bittle Park","medium-high-unconsolidated"
"307CMRADC","Carmel River above Danish Cr.","medium-high-unconsolidated"
"308BSU","Big Sur River at Peiffer Big Sur State Park USGS gauge","medium-high-unconsolidated"
"304APS","Aptos Creek at Nisene Marks Park Road","head-high-unconsolidated"
"310TOR","Toro Creek upstream Hwy 1","head-high-unconsolidated"
"310CAY","Cayucos Creek @ Cayucos Creek Rd","head-high-unconsolidated"
"308PWCAH1","Prewitt Creek above Hwy 1","head-high-unconsolidated"
"304SCM","Scott Creek upstream Big Creek residences","head-high-unconsolidated"
"305UVCASC","Uvas Creek above Swanson Cyn. Cr.","head-high-unconsolidated"
"GVWTC2","Tecolote Creek at Vereda del Padre","head-high-unconsolidated"
"309SDCMCC","Sandy Creek","head-high-unconsolidated"
"310SCN","Stenner Creek at Nipomo Street","head-high-unconsolidated"
"309NAF","Nacimiento River above Ponderosa campground","head-high-unconsolidated"
"304PS0018","Lompico Creek","head-high-unconsolidated"
"304PS0253","San Lorenzo River ~0.4mi above McGaffigan Rd.","head-high-unconsolidated"
"310CHO","Chorro Creek at Camp SLO","head-high-unconsolidated"
"315JAL","Jalama Creek at County Park at RR trussels","medium-high-unconsolidated"
"308PS0156","Skinner Creek ~0.2mi above Little Sur River","head-high-unconsolidated"
"308MIL","Mill Creek @ Mill Creek Picnic Area","head-high-unconsolidated"
"310SRU","Santa Rosa Creek at Ferrassi Road","head-high-unconsolidated"
"310SLM","San Luis Obispo Creek @ Mission Plaza","head-high-unconsolidated"
"307CMU","Carmel River at Esquiline Road","medium-high-unconsolidated"
"310CAW192","San Luis Obispo Creek ~1.1mi above Reservoir Canyon Creek","head-high-unconsolidated"
"315APF","Arroyo Paredon Creek at Foothill Bridge","head-high-unconsolidated"
"304SOU","Soquel Creek at Soquel Creek Road","head-high-unconsolidated"
"304SLE","San Lorenzo Upstream Bear Creek","head-high-unconsolidated"
"315ARH101","Arroyo Hondo ~0.5mi above Hwy 101","head-high-unconsolidated"
"308SJC","San Jose Creek at Private Road Access (north of Point Lobos)","head-high-unconsolidated"
"304BRA","Branciforte Creek at Water Street","head-high-unconsolidated"
"309ARSARC","Arroyo Seco ~0.3mi above Rosevelt Cr.","head-high-unconsolidated"
"308MWCAH1","McWay Creek ~0.4mi above Hwy 1","head-high-unconsolidated"
"312HUA","Huasna River at School Road","medium-low-unconsolidated"
"312CUY","Cuyama River downstream Buckhorn Rd","head-low-unconsolidated"
"317EST","Estrella River @ Airport Rd","medium-low-unconsolidated"
"315SCC","Sycamore Creek at Punta Gorda","head-low-unconsolidated"
"315TOR","Toro Canyon Creek at  Via Real","head-low-unconsolidated"
"315ABH","Arroyo Burro Creek at Hope Street","head-low-unconsolidated"
"GVWDV21","El Encanto Creek (Phelps Ditch) above Ocean Meadows Golf Course","head-low-unconsolidated"
"GVWDV22","El Encanto Creek (Phelps Ditch) at Phelps Rd.","head-low-unconsolidated"
"315GAN","Glenn Annie Creek upstream Cathedral Oaks","head-low-unconsolidated"
"309ANT","San Antonio River at Interlake Road Bridge","medium-low-unconsolidated"
"315SJH","San Jose Creek @ Hollister Road","head-low-unconsolidated"
"309TOP","Topo Creek @ Metz Rd","medium-low-unconsolidated"
"309SUN","Salinas River upstream Nacimiento @ Bradley Rd","medium-low-unconsolidated"
"309SARANF","San Antonio River","medium-low-unconsolidated"
"305CAW049","Pacheco Creek ~1.3mi above South Fork","head-low-unconsolidated"
"309CAW116","Toro Creek at Gaging Station","head-low-unconsolidated"
"305SBH","San Benito River at Hollister near 156","medium-low-unconsolidated"
"309GRN","Salinas River Elm Road in Greenfield","medium-low-unconsolidated"
"317ESE","Estrella River @ Estrella River Rd upstream Hwy 46","medium-low-unconsolidated"
"315MYC","Maria Ynacio Creek @ Patterson Avenue","head-low-unconsolidated"
"315CAU","Carpinteria Creek at Highway 192","head-low-unconsolidated"
"305BRI","San Benito River, Bridge downstream Willow Creek","medium-low-unconsolidated"
"GVWMY1","Maria Ygnacio Creek at Patterson","head-low-unconsolidated"
"307SCCARR","San Clemente Creek ~0.5mi above Robinson Cyn. Rd.","head-low-unconsolidated"
"309LOK","San Lorenzo Creek @ First St in King City","medium-low-unconsolidated"
"309PS0116","San Antonio River ~0.5mi above Bear Cyn. Cr.","medium-low-unconsolidated"
"309PSO","Salinas River 13th Street in Paso Robles","medium-low-unconsolidated"
"309SAG","Salinas River @ Gonzales River Rd Bridge","medium-low-unconsolidated"
"309SAN","San Antonio River @ Hwy 101","medium-low-unconsolidated"
"315ATU","Atascadero Creek @ Patterson Avenue","head-low-unconsolidated"
"GVWSJ1","San Jose Creek at Hollister Avenue","head-low-unconsolidated"
"GVWAT2","Atascadero Creek at Patterson","head-low-unconsolidated"
"307TUL","Tularcitos Creek @ Carmel Valley Rd","head-low-unconsolidated"
"308PS0308","Unnamed Trib. to Mill Creek ~0.8mi above Mainstem","head-low-unconsolidated"
"312NIT","Nipomo Creek at Tefft Street","head-low-unconsolidated"
"310DAU","Dairy Creek above Cattle Enclosure","head-low-unconsolidated"
"309PS0072","Salinas River ~1.1mi above Hwy 101","medium-low-unconsolidated"
"309SAP","Salinas River at High Mountain Lookout Road","head-low-unconsolidated"
"315CRP","Carpinteria Creek at 8th Street foot bridge","head-low-unconsolidated"
"309CAW182","San Antonio River ~1.4mi above Sam Jones Rd.","medium-low-unconsolidated"
"GVWGA2","Glen Annie/Tecolotito Creek at Cathedral Oaks","head-low-unconsolidated"
"309SSP","Salinas River @ Spreckels Gage","medium-low-unconsolidated"
"309SAC","Salinas River at Chualar River Road","medium-low-unconsolidated"
"309PS0040","Salinas River PS0040","medium-low-unconsolidated"
"310UPN","Upper Pennington Creek","head-low-unconsolidated"
"310ADU","Arroyo de la Cruz 500m upstream from Highway 1","medium-low-unconsolidated"
"309SALUBD","Salinas River at Blaco Road (upstream of Blanco Dam)","medium-low-unconsolidated"
"312NIP","Nipomo Creek at Highway 166","head-low-unconsolidated"
"GVWSJ2","San Jose Creek at North Patterson Avenue","head-low-unconsolidated"
"309SAS","Salinas River @ Hwy 101 in Soledad","medium-low-unconsolidated"
"310APN","Pennington Creek upstream from horse corral","head-low-unconsolidated"
"309DSA","Salinas River Cattlemen Road near San Ardo","medium-low-unconsolidated"
"309SAT","Salinas River at Highway 41","medium-low-unconsolidated"
"310PEN","Pennington Creek at Hwy 1","head-low-unconsolidated"
"309CAW050","San Antonio River at Oro Fino Canyon","medium-low-unconsolidated"
"309SET","Arroyo Seco River at Thorne Road","medium-low-unconsolidated"
"309CAW174","San Antonio River NF above Carrizo Creek","head-low-unconsolidated"
"309DAV","Salinas River at Davis Road","medium-low-unconsolidated"
"310CPN","Pennington Creek @ bridge","head-low-unconsolidated"
"310ADC","Arroyo de la Cruz at Highway 1","medium-low-unconsolidated"
"309CAW194","San Antonio River above Del Venturi Rd.","medium-low-unconsolidated"
"CMWCP00","Carpinteria Creek at 8th Street","head-low-unconsolidated"
"309CAW130","Nacimiento River 0.7mi above Slickrock Creek","medium-low-unconsolidated"
"309QUI","Quail Creek @ Hwy 101","head-low-unconsolidated"
"309CRR","Chualar Creek @ Chualar River Rd","head-low-unconsolidated"
"309UAL","Salinas Reclamation Canal @ Old Stage Rd","head-low-unconsolidated"
"312ORI","Orcutt Creek @ Hwy 1","head-low-unconsolidated"
"309-SRITA-34","Santa Rita Creek at Russell Road","head-low-unconsolidated"
"309QCW","Quail Creek west of Hwy 101 @ RR tracks","head-low-unconsolidated"
"309-SRITA-36","Santa Rita Creek at North Main Street and East Bolivar Street","head-low-unconsolidated"
"310BER","Los Berros Creek @ Valley Rd","head-low-unconsolidated"
"GVWCG1","Cieneguitas Creek at Nogal Drive","head-low-unconsolidated"
"306-CARNE-32","Carneros Creek at mid entry to wetland","head-low-unconsolidated"
"309CCD","Chualar Creek west of Highway 101","head-low-unconsolidated"
"GVWSP1","San Pedro Creek near Hollister Avenue","head-low-unconsolidated"
"315FRC","Franklin Creek at 7th Street","head-low-unconsolidated"
"314DDE","Canal Trib to Santa Ynez River @ W Central Ave","head-low-unconsolidated"
"GVWAT3","Atascadero Creek at Puente Drive","head-low-unconsolidated"
"315FRCMVD","Franklin Creek 300 feet below Meadow View Road","head-low-unconsolidated"
"312ORN","Orcutt North Fork Tributary near sand plant","head-low-unconsolidated"
"315FRCMVU","Franklin Creek 300 feet above Meadow View Road","head-low-unconsolidated"
"310CHD","Chorro Creek below Chorro Creek Dam","head-low-unconsolidated"
"306-CARNE-33A","Carneros Creek- Sill Road, road flow","head-low-unconsolidated"
"315FMV","Franklin Creek @ Mountain View Ln","head-low-unconsolidated"
"306-CARNE-31","Carneros Creek at Johnson Road","head-low-unconsolidated"
"310LBC","Los Berros Creek @ Century","head-low-unconsolidated"
"312GVS","Green Valley @ Simas Rd","head-low-unconsolidated"
"309HRT","Alisal Creek @ Hartnell Rd dogleg","medium-low-unconsolidated"
"312MAB","Main St Ditch @ Bonita School","head-low-unconsolidated"
"310ARG","Arroyo Grande Creek at 22nd Street","medium-low-unconsolidated"
"315MIS","Mission Creek at Montecito Street","head-low-unconsolidated"
"CMWSM01","Santa Monica Creek at Via Real","head-low-unconsolidated"
"315ANN","Glenn Annie Creek at Los Carneros Road","head-low-unconsolidated"
"315SJC","San Jose Creek @ Kellogg Boulevard","head-low-unconsolidated"
"309RTA","Santa Rita Creek @ Santa Rita Creek Park","head-low-unconsolidated"
"312GVT","Orcutt Creek at Brown Road","head-low-unconsolidated"
"309QUA","Quail Creek at Potter Road crossing","head-low-unconsolidated"
"310TUR","Warden Creek @ Turi Road","head-low-unconsolidated"
"315YSI","San Ysidro Creek @ Jamison Lane","head-low-unconsolidated"
"315SMC","Santa Monica Creek @ Carpenteria Avenue","head-low-unconsolidated"
"315SPC","San Pedro Creek above Holister Road","head-low-unconsolidated"
"CMWFK00","Franklin Creek at Carpinteria Ave.","head-low-unconsolidated"
"GVWGA1","Glen Annie/Tecolotito Creek at Hollister Avenue","head-low-unconsolidated"
"309ESP","Espinosa Slough upstream of Alisal Slough","head-low-unconsolidated"
"305MVR","San Juan Creek @ Mission Vineyard Rd near Hwy 156","head-low-unconsolidated"
"315MTC","Montecito Creek at Jamison Lane","head-low-unconsolidated"
"312ORC","Orcutt Creek at sand plant above Santa Maria River","head-low-unconsolidated"
"312WE1035","Sisquoc River ~0.2mi below Big Pine Canyon","medium-low-unconsolidated"
"314WE0779","Coche Creek ~1mi above WF Santa Cruz Creek","head-low-unconsolidated"
"312DAVDAV","Davy Brown Creek below Munch Cyn.","head-low-unconsolidated"
"314WE0796","Santa Cruz Creek WF ~3mi above Coche Creek","head-low-unconsolidated"
"311SLN","Soda Lake North Tributary at Seven Mile Road","head-low-unconsolidated"
"314SYP","Santa Ynez River at Paradise Road","medium-low-unconsolidated"
"305TRE","Tres Pinos Creek @ Southside Rd","medium-low-unconsolidated"
"314SYL","Santa Ynez River at Highway 246","medium-low-unconsolidated"
"312CCC","Cuyama River below Cottonwood Canyon","medium-low-unconsolidated"
"314SYI","Santa Ynez River at Highway 101","medium-low-unconsolidated"
"314SYC","Santa Ynez River d/s Lake Cachuma at Highway 154","medium-low-unconsolidated"
"305PAC","Pacheco Creek at San Felipe Road","medium-low-unconsolidated"
"312CAV","Cuyama River at Highway 33","medium-low-unconsolidated"
"315RIN","Rincon Creek at Bates Road","head-low-unconsolidated"
"305CAW161","Uvas Creek ~0.4mi below Thomas Rd","medium-low-unconsolidated"
"312SIV","Sisquoc River upstream Tepusquet at USGS gage","medium-low-unconsolidated"
"312SIS","Sisquoc River At Santa Maria Mesa Road","medium-low-unconsolidated"
"312SBC","Santa Maria River at Bull Canyon Road","medium-low-unconsolidated"
